[30.668655372, 36.8907556]
[-73.3748599, 41.2943069]
[-73.2048347, 41.1670412]
[-100.4458824, 39.7837304]
[-7.9794598, 52.865196]
[-43.2093726, -22.9110136]
[-43.2093726, -22.9110136]
[-118.2439408, 34.0543942]
[-114.9832126, 53.2205548]
[-122.3300623, 47.6038321]
[7.540121, 44.933143]
[7.540121, 44.933143]
[-42.140571, -19.7900583]
[-112.4912299, 33.34883]
[-42.140571, -19.7900583]
